t,spread,adverse_selection,inventory,net
204,12.279406603160808,-1.3629616828275184,-1.209653373790663,9.706791546542618
205,12.387857152706813,-1.3629616828275184,-1.209653373790663,9.815242096088623
206,12.517156159889689,-1.3629616828275184,-1.2130038955320717,9.94119058153009
207,12.555163100342991,-1.3629616828275184,-1.2161015473050751,9.976099870210389
208,12.68103756216817,-1.4281204284337115,-1.2812602929112682,9.97165684082318
209,12.707333409343166,-1.4281204284337115,-1.2812602929112682,9.997952687998175
210,12.74150366369569,-1.4281204284337115,-1.2894357965745205,10.023947438687449
211,12.77861766617823,-1.4281204284337115,-1.2894357965745205,10.061061441169988
212,12.878294864200347,-1.4281204284337115,-1.2894357965745205,10.160738639192106
213,12.97736200369956,-1.4281204284337115,-1.2894357965745205,10.259805778691318
214,13.008718720911213,-1.4333262149918093,-1.2894357965745205,10.285956709344873
215,13.056712988813238,-1.4333262149918093,-1.2894357965745205,10.333950977246898
216,13.124964948584708,-1.4333262149918093,-1.2894357965745205,10.402202937018368
217,13.158539351108335,-1.4333262149918093,-1.2894357965745205,10.435777339541994
218,13.250198029265523,-1.4333262149918093,-1.308945458295002,10.5079263559787
219,13.283775861504704,-1.438979597411991,-1.308945458295002,10.5358508057977
220,13.328875608678178,-1.438979597411991,-1.308945458295002,10.580950552971174
221,13.390749160445507,-1.438979597411991,-1.3162456220233678,10.635523941010137
222,13.442675260531182,-1.438979597411991,-1.3162456220233678,10.687450041095811
223,13.497444065918012,-1.477565161757211,-1.3548311863685878,10.665047717792202
224,13.525011869508477,-1.491855038859082,-1.3548311863685878,10.678325644280795
225,13.560509882554225,-1.5124075198929652,-1.3548311863685878,10.69327117629266
226,13.621415115400294,-1.5232902414052285,-1.3548311863685878,10.743293687626466
227,13.699423155363066,-1.5239900503497714,-1.3555309953131307,10.819902109700152
228,13.82928584067265,-1.5239900503497714,-1.3707609190187575,10.934534871304109
229,13.857855919807468,-1.5239900503497714,-1.3707609190187575,10.963104950438927
230,13.956129439638113,-1.5239900503497714,-1.384998192149342,11.047141197138988
231,14.013514036880403,-1.5239900503497714,-1.395855969181204,11.093668017349417
232,14.06086783550489,-1.5239900503497714,-1.395855969181204,11.141021815973904
233,14.107313748415896,-1.5239900503497714,-1.395855969181204,11.18746772888491
234,14.145897256116585,-1.5239900503497714,-1.395855969181204,11.2260512365856
