t,bound,Exp3,Exp3DoublingTrick,SWExp3
279,136.25437271558508,37.94798859792442,39.35370013964342,44.32114422519609
280,136.49833776808907,37.97069442794816,39.69575937559148,44.36768745214894
281,136.74186755630143,38.44192295761485,39.834200352808665,44.41497628693108
282,136.98496440164095,38.896309133820466,40.05522703520205,44.41497628693108
283,137.2276306049645,38.76003885855164,39.918956759933224,44.534878874151104
284,137.46986844682127,38.97933082944641,39.918956759933224,44.7997211726034
285,137.71168018770268,39.21357485629477,39.91646642358327,45.018369681022506
286,137.95306806828856,39.300576092080775,40.01019298326244,44.773437518150615
287,138.1940343096894,39.577836435846336,40.287453327028004,44.80342946928411
288,138.43458111368477,39.48243089747905,40.108703606924536,44.700092090143926
289,138.674710662958,39.462006930311475,40.42491465435353,44.68843551053274
290,138.91442512132738,39.67067649112934,40.91364559335287,45.103805722579324
291,139.15372663397352,39.887860273328954,41.37847945259318,45.26969492974496
292,139.39261732766332,39.860871804581365,41.42683024221725,45.534242617268546
293,139.63109931097063,39.62127723410265,41.187235671738534,45.534242617268546
294,139.86917467449322,39.71870751141503,41.250089534578166,45.513588145634344
295,140.10684549106674,40.06664196169794,41.450333090159376,45.86152259591725
296,140.34411381597522,40.269886558733475,41.34288738811,46.064767192952786
297,140.58098168715838,40.74763353583481,41.555656492286886,46.428210066771925
298,140.81745112541597,40.481162447625735,41.27539791364211,46.58080227983996
299,141.0535241346088,40.758325033823155,41.65097266230609,46.60039180359533
300,141.28920270185696,40.727528604636575,41.62017623311951,46.87438738020714
301,141.52448879773485,41.14302688027391,42.0286875166872,47.30263181035275
302,141.75938437646354,41.358271858497545,42.223395249179504,47.406430246091816
303,141.9938913761,41.358271858497545,41.91363807323779,47.34510630543099
304,142.22801171872382,41.621019112347994,42.1567556633089,47.50768483834753
305,142.4617473106209,41.974330832675804,42.29592510296837,47.646854278007
306,142.6951000424645,42.54244261170942,42.86403688200198,47.8896651219238
307,142.92807178949386,42.939666939658935,43.300001512185645,48.468600206547876
308,143.16066441168977,43.005163179989694,43.300001512185645,48.869812688424105
309,143.39287975394808,43.02541840288103,43.29510664782799,48.89006791131544
310,143.6247196462502,43.02541840288103,43.58923873640575,49.028935583722415
311,143.8561859038315,43.19888477706422,43.85396353297915,49.22905518861262
312,144.087280327347,43.29355077145644,44.14912188801307,49.323721183004835
313,144.318004703035,43.64390277167848,44.499473888235116,49.67407318322688
314,144.54836080287797,44.018064802459435,44.87363591901607,49.84452483185646
315,144.7783503847614,44.21418024656194,44.73405168869019,49.99789794219549
316,145.00797519263034,44.48884778680224,45.332384433209256,50.23164368294633
317,145.23723695664364,44.55234567071139,45.275111366460294,50.29514156685548
318,145.46613739332605,44.850720251652234,45.827742327310006,50.80976477613885
319,145.69467820571813,44.850720251652234,46.05553059603875,51.130973192430304
320,145.92286108352425,44.9439848420937,46.41993021273649,51.5925618913202
321,146.1506877032581,45.00831966442402,46.47744477846376,51.650076457047476
322,146.3781597283865,45.17358396455646,46.28956354259762,51.81534075717991
323,146.6052788094712,45.17358396455646,46.28956354259762,51.529310806753216
324,146.8320465843085,45.26142902293179,46.28956354259762,51.52597771970437
325,147.05846467806705,45.46870316887137,46.4968376885372,51.96578000952883
326,147.2845347034238,45.46870316887137,46.380324613766476,51.66160949612632
327,147.51025826069792,45.4501394555933,46.380324613766476,51.828776701702594
328,147.7356369379831,45.705497807035954,46.80969515684714,52.10154185701688
329,147.96067231127773,45.78130924393824,47.118966211855735,52.48655763092509
330,148.18536594461366,46.28053379775554,47.350426707861715,52.748767401749575
331,148.40971939018286,46.60841544584528,47.67830835595146,52.837528366657864
332,148.63373418846265,46.519675422131286,47.67830835595146,53.04314828155489
333,148.85741186833906,46.615538357262466,47.76321438876042,53.04314828155489
334,149.0807539472285,46.67771095533493,47.82538698683288,52.8815174684903
335,149.30376193119795,47.035143454995136,48.276577580883014,52.98435835869773
336,149.52643731508348,46.74268614243519,48.187764523857226,52.859976396785584
337,149.74878158260702,46.670217180350676,48.47369288798265,52.849272162476694
338,149.97079620649183,46.670217180350676,48.54956198982657,52.925141264320615
339,150.19248264857617,46.46001373233452,48.54956198982657,52.770657714965694
340,150.4138423599258,46.72196224636329,48.532534304441185,52.75363002958031
341,150.6348767809446,46.7947188258465,48.60362527780438,52.56028709367672
342,150.85558734148407,47.00406657260805,48.91142742422508,52.94469382009345
343,151.075975460951,46.830113767242494,48.73747461885952,52.955283227284326
344,151.29604254841445,46.897925928735475,48.87139872486594,53.02309538877731
345,151.51579000271025,46.98498556173479,49.00572406574145,53.094831984244024
346,151.7352192125452,46.837893032344766,49.32780353097408,53.18963560104439
347,151.95433155659924,46.85739684012427,49.34730733875358,53.33274707079519
348,152.17312840362666,46.85739684012427,49.477901350450736,53.651228264014804
349,152.3916111125557,46.80306747758118,49.35547642759556,53.59689890147172
350,152.60978103258702,46.63279327858862,49.55749525672931,53.42662470247916
351,152.82763950329115,47.12506499969689,50.04976697783758,53.62565016245418
352,153.0451878547041,47.323640941921525,50.134803614084746,53.776375605986345
353,153.26242740742242,47.565100972343686,50.104896478606435,54.017835636408506
354,153.47935947269644,47.91574478516037,50.30114599427185,54.41690651922312
355,153.69598535252288,48.404202617531325,50.61374939997805,54.618636882596974
356,153.91230633973584,48.36610827396635,50.68684389553593,54.624239919038956
357,154.1283237180968,48.69532505350193,50.84497771454326,54.69231056682628
358,154.3440387623837,48.72918604805258,50.87883870909391,54.72617156137693
359,154.55945273847846,48.80252956932014,51.3022099327201,54.77021347137875
360,154.77456690345383,48.80252956932014,51.55245088179319,54.77021347137875
361,154.98938250565897,49.3171077542618,52.12920523354404,55.3469678231296
362,155.20390078480378,49.57448083905979,52.093163211816574,55.310925801402135
363,155.41812297204265,49.7365857654768,52.093163211816574,55.5173749815518
364,155.63205029005667,49.931871833981376,52.264264480081124,55.68847624981635
365,155.84568395313514,50.04996649159605,52.264264480081124,55.85570597756467
366,156.05902516725598,50.16104262359525,52.364515096109784,55.95595659359333
367,156.27207513016518,50.27955606555821,52.483028538072745,56.287211955781544
368,156.4848350314552,50.457920237552315,52.94512620764266,56.46557612777565
369,156.69730605264246,50.45166727411561,52.87772709956343,56.77439382734451
