condition,algorithm,t,cum_pnl
stationary,Exp3,264,13.752342727458919
stationary,Exp3,265,13.775883823150112
stationary,Exp3,266,13.90011575947077
stationary,Exp3,267,13.985866796689642
stationary,Exp3,268,13.942508359997174
stationary,Exp3,269,14.058546365278527
stationary,Exp3,270,14.153930639460627
stationary,Exp3,271,14.234064125235893
stationary,Exp3,272,14.344523556305921
stationary,Exp3,273,14.460404555830856
stationary,Exp3,274,14.561820305391572
stationary,Exp3,275,14.610193290698914
stationary,Exp3,276,14.663136631739683
stationary,Exp3,277,14.711474683154435
stationary,Exp3,278,14.793509509063803
stationary,Exp3,279,14.828331136325144
stationary,Exp3,280,14.916985884550996
stationary,Exp3,281,15.020828685556719
stationary,Exp3,282,15.087265721635992
stationary,Exp3,283,15.059280858097024
stationary,Exp3,284,15.1449073313606
stationary,Exp3,285,15.237312600997555
stationary,Exp3,286,15.369783941523385
stationary,Exp3,287,15.395155941329431
stationary,Exp3,288,15.44732125917944
stationary,Exp3,289,15.574766619254467
stationary,Exp3,290,15.623876403131236
stationary,Exp3,291,15.658362250871669
stationary,Exp3,292,15.67788024493981
stationary,Exp3,293,15.78750078539887
stationary,Exp3,294,15.811693817260583
stationary,Exp3,295,15.90235797611772
stationary,Exp3,296,16.00727251392028
stationary,Exp3,297,16.08036584403073
stationary,Exp3,298,16.153943195935028
stationary,Exp3,299,16.189435869087376
stationary,Exp3,300,16.276844701860952
stationary,Exp3,301,16.24286452745169
stationary,Exp3,302,16.285541240309858
stationary,Exp3,303,16.337830383890957
stationary,Exp3,304,16.3160489635288
stationary,Exp3,305,16.392356186107786
stationary,Exp3,306,16.382405491365283
stationary,Exp3,307,16.34118541146142
stationary,Exp3,308,16.459349231795617
stationary,Exp3,309,16.521943529372347
stationary,Exp3,310,16.580736765618255
stationary,Exp3,311,16.62456985434621
stationary,Exp3,312,16.663365915011475
stationary,Exp3,313,16.764189800641823
stationary,Exp3,314,16.743301744801993
stationary,Exp3,315,16.84553613944748
stationary,Exp3,316,16.86883034415339
stationary,Exp3,317,16.875816720632898
stationary,Exp3,318,16.8336908818019
stationary,Exp3,319,16.821214537830528
stationary,Exp3,320,16.867725637754326
stationary,Exp3,321,16.884360879987607
stationary,Exp3,322,16.940873468800984
stationary,Exp3,323,16.99872119346825
stationary,Exp3,324,17.089071762811948
stationary,Exp3,325,17.10552563284413
stationary,Exp3,326,17.112704147599644
stationary,Exp3,327,17.139072634461396
stationary,Exp3,328,17.260603533948704
stationary,Exp3,329,17.305486147713285
stationary,Exp3,330,17.394167961532652
stationary,Exp3,331,17.43675027913344
stationary,Exp3,332,17.51739168504093
stationary,Exp3,333,17.529559053155573
stationary,Exp3,334,17.580820063728765
stationary,Exp3,335,17.69804034760059
stationary,Exp3,336,17.81840332158639
stationary,Exp3,337,17.848583978618976
